source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
1269	Tcell	basal_like_1	GAS6	AXL	3.81091301045831e-06	0.02	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1270	Bcell	Bcell	GAS6	AXL	1.27078990282647e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1271	endothelial	Bcell	GAS6	AXL	8.73800196544818e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1272	macrophage	Bcell	GAS6	AXL	8.73147812624276e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1273	mesenchymal	Bcell	GAS6	AXL	5.35382355082338e-06	0.04	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1274	stroma	Bcell	GAS6	AXL	1.25620209907694e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1275	Tcell	Bcell	GAS6	AXL	8.49796223885308e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1276	Bcell	endothelial	GAS6	AXL	1.03659599526216e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1277	endothelial	endothelial	GAS6	AXL	7.12767011837907e-06	0.02	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1278	macrophage	endothelial	GAS6	AXL	7.12234855301776e-06	0.02	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1279	stroma	endothelial	GAS6	AXL	1.024696550735e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1280	Tcell	endothelial	GAS6	AXL	6.93186715647387e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1281	Bcell	luminal_ar	GAS6	AXL	5.10574325371812e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1282	macrophage	luminal_ar	GAS6	AXL	3.50809991406872e-06	0.03	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1283	stroma	luminal_ar	GAS6	AXL	5.04713235340889e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1284	basal_like_1	macrophage	GAS6	AXL	1.06033399768263e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1285	basal_like_2	macrophage	GAS6	AXL	8.64713210576642e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1286	Bcell	macrophage	GAS6	AXL	3.10901491200001e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1287	endothelial	macrophage	GAS6	AXL	2.13778330779375e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1288	luminal_ar	macrophage	GAS6	AXL	8.7191039688984e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1289	macrophage	macrophage	GAS6	AXL	2.1361872474519e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1290	mesenchymal	macrophage	GAS6	AXL	1.30983841551987e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1291	stroma	macrophage	GAS6	AXL	3.07332618395268e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1292	Tcell	macrophage	GAS6	AXL	2.07905745550991e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1293	basal_like_1	stroma	GAS6	AXL	3.90209834061099e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1294	Bcell	stroma	GAS6	AXL	1.14415260046125e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1295	endothelial	stroma	GAS6	AXL	7.86723572021256e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1296	macrophage	stroma	GAS6	AXL	7.86136199465248e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1297	mesenchymal	stroma	GAS6	AXL	4.82029848935567e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1298	stroma	stroma	GAS6	AXL	1.13101849036786e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1299	Tcell	stroma	GAS6	AXL	7.65111643824797e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1300	basal_like_1	Tcell	GAS6	AXL	6.10902851210747e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1301	basal_like_2	Tcell	GAS6	AXL	4.98197104841899e-06	0.04	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1302	Bcell	Tcell	GAS6	AXL	1.79124933397463e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1303	endothelial	Tcell	GAS6	AXL	1.23167217608781e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1304	luminal_ar	Tcell	GAS6	AXL	5.02343717373949e-06	0.04	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1305	macrophage	Tcell	GAS6	AXL	1.23075260631342e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1306	mesenchymal	Tcell	GAS6	AXL	7.54653600332994e-06	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1307	stroma	Tcell	GAS6	AXL	1.77068711574034e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1308	Tcell	Tcell	GAS6	AXL	1.19783729889518e-05	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
1309	endothelial	basal_like_1	LGALS9	PTPRC	4.11231451689772e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1310	macrophage	basal_like_1	LGALS9	PTPRC	4.97977333841664e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1311	stroma	basal_like_1	LGALS9	PTPRC	3.24064142383573e-06	0.03	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1312	Tcell	basal_like_1	LGALS9	PTPRC	4.24054409863888e-06	0.01	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1313	Bcell	basal_like_2	LGALS9	PTPRC	5.84046186393165e-06	0.02	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1314	endothelial	basal_like_2	LGALS9	PTPRC	7.94462097407299e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1315	macrophage	basal_like_2	LGALS9	PTPRC	9.62046544977311e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1316	stroma	basal_like_2	LGALS9	PTPRC	6.26063221412368e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1317	Tcell	basal_like_2	LGALS9	PTPRC	8.19234798876308e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1318	Bcell	Bcell	LGALS9	PTPRC	6.89374573835888e-06	0.04	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1319	endothelial	Bcell	LGALS9	PTPRC	9.37737074154142e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1320	macrophage	Bcell	LGALS9	PTPRC	1.13554371262968e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1321	stroma	Bcell	LGALS9	PTPRC	7.38969012736664e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1322	Tcell	Bcell	LGALS9	PTPRC	9.66977293856222e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1323	basal_like_1	endothelial	LGALS9	PTPRC	9.41862792873937e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1324	Bcell	endothelial	LGALS9	PTPRC	1.6122092513996e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1325	endothelial	endothelial	LGALS9	PTPRC	2.1930361479684e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1326	luminal_ar	endothelial	LGALS9	PTPRC	6.89277238393797e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1327	macrophage	endothelial	LGALS9	PTPRC	2.65562904983818e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1328	stroma	endothelial	LGALS9	PTPRC	1.72819238349215e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1329	Tcell	endothelial	LGALS9	PTPRC	2.26141781963564e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1330	basal_like_1	macrophage	LGALS9	PTPRC	1.52235298123366e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1331	basal_like_2	macrophage	LGALS9	PTPRC	9.0358486213578e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1332	Bcell	macrophage	LGALS9	PTPRC	2.6058375366676e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1333	endothelial	macrophage	LGALS9	PTPRC	3.54462390747774e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1334	luminal_ar	macrophage	LGALS9	PTPRC	1.11409528037903e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1335	macrophage	macrophage	LGALS9	PTPRC	4.29230470760516e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1336	mesenchymal	macrophage	LGALS9	PTPRC	7.34741150394217e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1337	stroma	macrophage	LGALS9	PTPRC	2.79330078301596e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1338	Tcell	macrophage	LGALS9	PTPRC	3.65514827350218e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1339	Bcell	stroma	LGALS9	PTPRC	7.28670943537443e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1340	endothelial	stroma	LGALS9	PTPRC	9.91190693433173e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1341	macrophage	stroma	LGALS9	PTPRC	1.20027272468517e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1342	stroma	stroma	LGALS9	PTPRC	7.81092388622495e-06	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1343	Tcell	stroma	LGALS9	PTPRC	1.02209766988315e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1344	basal_like_1	Tcell	LGALS9	PTPRC	2.60565566962829e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1345	basal_like_2	Tcell	LGALS9	PTPRC	1.54658046795217e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1346	Bcell	Tcell	LGALS9	PTPRC	4.46011081810145e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1347	endothelial	Tcell	LGALS9	PTPRC	6.06688237481323e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1348	luminal_ar	Tcell	LGALS9	PTPRC	1.90688831911576e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1349	macrophage	Tcell	LGALS9	PTPRC	7.34655351545065e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1350	mesenchymal	Tcell	LGALS9	PTPRC	1.25758821903797e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1351	stroma	Tcell	LGALS9	PTPRC	4.78096360413302e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1352	Tcell	Tcell	LGALS9	PTPRC	6.25604796897957e-05	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
1353	endothelial	basal_like_1	PROS1	AXL	2.62388583699414e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1354	endothelial	Bcell	PROS1	AXL	5.85103360167059e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1355	endothelial	endothelial	PROS1	AXL	4.77273578879703e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1356	endothelial	luminal_ar	PROS1	AXL	2.35079446429713e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1357	endothelial	macrophage	PROS1	AXL	1.43149309589432e-06	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1358	endothelial	mesenchymal	PROS1	AXL	1.72556245041684e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1359	endothelial	stroma	PROS1	AXL	5.26795751869484e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1360	endothelial	Tcell	PROS1	AXL	8.24739955498629e-07	0	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	PMID: 29531161
1361	basal_like_1	macrophage	RARRES2	CMKLR1	2.18135007097975e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1362	basal_like_2	macrophage	RARRES2	CMKLR1	2.6667755099834e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1363	Bcell	macrophage	RARRES2	CMKLR1	8.11530725187057e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1364	endothelial	macrophage	RARRES2	CMKLR1	5.90951122788197e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1365	luminal_ar	macrophage	RARRES2	CMKLR1	1.5690306759166e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1366	macrophage	macrophage	RARRES2	CMKLR1	7.37003742540588e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1367	mesenchymal	macrophage	RARRES2	CMKLR1	6.55286758749324e-07	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1368	stroma	macrophage	RARRES2	CMKLR1	1.10226716672757e-05	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1369	Tcell	macrophage	RARRES2	CMKLR1	6.85160755110672e-06	0	RARRES2_CMKLR1	RARRES2 - CMKLR1	CHEMERIN	Secreted Signaling	PMID: 24671882
1370	basal_like_1	macrophage	LGALS9	HAVCR2	1.9049301288997e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1371	basal_like_2	macrophage	LGALS9	HAVCR2	1.1306554597414e-06	0.01	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1372	Bcell	macrophage	LGALS9	HAVCR2	3.26073226808213e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1373	endothelial	macrophage	LGALS9	HAVCR2	4.4354892897282e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1374	luminal_ar	macrophage	LGALS9	HAVCR2	1.3940696487357e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1375	macrophage	macrophage	LGALS9	HAVCR2	5.37111879728834e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1376	mesenchymal	macrophage	LGALS9	HAVCR2	9.19380017146318e-07	0.03	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1377	stroma	macrophage	LGALS9	HAVCR2	3.49531419662911e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1378	Tcell	macrophage	LGALS9	HAVCR2	4.5737960132438e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1379	basal_like_1	Tcell	LGALS9	HAVCR2	1.5252410607621e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1380	basal_like_2	Tcell	LGALS9	HAVCR2	9.05294026519706e-07	0.03	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1381	Bcell	Tcell	LGALS9	HAVCR2	2.61080656554344e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1382	endothelial	Tcell	LGALS9	HAVCR2	3.5514130932807e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1383	luminal_ar	Tcell	LGALS9	HAVCR2	1.11620474738015e-06	0.02	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1384	macrophage	Tcell	LGALS9	HAVCR2	4.30055489565188e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1385	stroma	Tcell	LGALS9	HAVCR2	2.79863200337115e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1386	Tcell	Tcell	LGALS9	HAVCR2	3.66215279401822e-06	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
1387	Bcell	basal_like_1	LGALS9	CD44	2.34612797639737e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1388	endothelial	basal_like_1	LGALS9	CD44	3.19135363552814e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1389	macrophage	basal_like_1	LGALS9	CD44	3.86452069353934e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1390	stroma	basal_like_1	LGALS9	CD44	2.51490825723048e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1391	Tcell	basal_like_1	LGALS9	CD44	3.29086309873088e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1392	Bcell	Bcell	LGALS9	CD44	2.25878140420086e-05	0.04	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1393	endothelial	Bcell	LGALS9	CD44	3.0725401969179e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1394	macrophage	Bcell	LGALS9	CD44	3.72064631648747e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1395	stroma	Bcell	LGALS9	CD44	2.42127813095206e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1396	Tcell	Bcell	LGALS9	CD44	3.16834506068095e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1397	Bcell	endothelial	LGALS9	CD44	2.51958885967295e-05	0.01	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1398	endothelial	endothelial	LGALS9	CD44	3.427304104139e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1399	macrophage	endothelial	LGALS9	CD44	4.15023922571362e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1400	stroma	endothelial	LGALS9	CD44	2.70084756715102e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1401	Tcell	endothelial	LGALS9	CD44	3.5341704689359e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1402	Bcell	luminal_ar	LGALS9	CD44	2.76996505111537e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1403	endothelial	luminal_ar	LGALS9	CD44	3.76787823460935e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1404	macrophage	luminal_ar	LGALS9	CD44	4.56264875762967e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1405	stroma	luminal_ar	LGALS9	CD44	2.9692352357882e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1406	Tcell	luminal_ar	LGALS9	CD44	3.88536358855898e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1407	basal_like_1	macrophage	LGALS9	CD44	2.16537605356444e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1408	Bcell	macrophage	LGALS9	CD44	3.70649412271178e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1409	endothelial	macrophage	LGALS9	CD44	5.04178614292856e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1410	macrophage	macrophage	LGALS9	CD44	6.10524970105365e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1411	stroma	macrophage	LGALS9	CD44	3.97313515959478e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1412	Tcell	macrophage	LGALS9	CD44	5.19899086433107e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1413	basal_like_1	mesenchymal	LGALS9	CD44	2.15527118585451e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1414	Bcell	mesenchymal	LGALS9	CD44	3.68919779296233e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1415	endothelial	mesenchymal	LGALS9	CD44	5.01825899470582e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1416	macrophage	mesenchymal	LGALS9	CD44	6.07676027486947e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1417	stroma	mesenchymal	LGALS9	CD44	3.95459460045852e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1418	Tcell	mesenchymal	LGALS9	CD44	5.17473016905263e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1419	Bcell	stroma	LGALS9	CD44	2.11142840360025e-05	0.03	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1420	endothelial	stroma	LGALS9	CD44	2.8721026633746e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1421	macrophage	stroma	LGALS9	CD44	3.47793097187652e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1422	stroma	stroma	LGALS9	CD44	2.26332479590621e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1423	Tcell	stroma	LGALS9	CD44	2.96165787029931e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1424	basal_like_1	Tcell	LGALS9	CD44	2.7127670981437e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1425	Bcell	Tcell	LGALS9	CD44	4.64345032183995e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1426	endothelial	Tcell	LGALS9	CD44	6.31626644655857e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1427	luminal_ar	Tcell	LGALS9	CD44	1.98527588973696e-05	0.04	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1428	macrophage	Tcell	LGALS9	CD44	7.64853547349265e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1429	stroma	Tcell	LGALS9	CD44	4.97749158341025e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1430	Tcell	Tcell	LGALS9	CD44	6.51320733788885e-05	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
1431	basal_like_2	basal_like_1	COL1A1	ITGA1_ITGB1	0.000126083287527821	0	COL1A1_ITGA1_ITGB1	COL1A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
1432	Bcell	basal_like_1	COL1A1	ITGA1_ITGB1	0.00017087126239484	0	COL1A1_ITGA1_ITGB1	COL1A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
1433	endothelial	basal_like_1	COL1A1	ITGA1_ITGB1	0.000137299302730381	0.01	COL1A1_ITGA1_ITGB1	COL1A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
1434	macrophage	basal_like_1	COL1A1	ITGA1_ITGB1	0.000160397894056698	0	COL1A1_ITGA1_ITGB1	COL1A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
